,mmol_experiment1_reagent1_chemical1,mmol_experiment1_reagent2_chemical2,mmol_experiment1_reagent2_chemical3,mmol_experiment1_reagent3_chemical3,mmol_experiment1_reagent6_chemical5
239,2.211638982460216,0.486,0.972,0.027,6.175537692809038
240,1.9774654431408991,0.114,0.228,1.224,2.8889854442754728
241,4.124056220234638,0.1605,0.321,0.342,2.0673473821420814
242,1.2098966198164711,0.5325,1.065,0.234,5.353899630675646
243,0.02601928214659078,0.717,1.434,0.09,3.7106235064088637
244,3.3304681147636197,0.3465,0.693,0.0585,0.4505757114925049
245,2.640957137878964,0.2535,0.507,0.576,0.6361068868129481
246,0.8716459519107912,0.6255,1.251,0.072,3.9226591353465134
247,1.4961087234289698,0.4395,0.879,0.414,5.565935259613296
248,5.086769659658497,0.0675,0.135,0.288,2.2793830110797306
249,5.399001045417586,0.0915,0.183,0.108,3.1010210732131216
250,2.2246486235335117,0.462,0.924,0.0945,6.387573321746687
251,0.7285399001045418,0.648,1.296,0.054,4.744297197479905
252,3.0312463700778256,0.276,0.552,0.3735,1.4577449489463392
253,2.3547450342664655,0.369,0.738,0.3285,1.060178144688247
254,0.02601928214659078,0.741,1.482,0.018,4.3467303932218115
255,0.3642699500522709,0.555,1.11,0.459,5.963502063871388
256,0.6244627715181786,0.1845,0.369,1.4805,2.7034542689550296
257,3.304448832617029,0.138,0.276,0.693,1.8818162068216382
258,0.09106748751306773,0.5085,1.017,0.693,5.141864001737996
259,0.10407712858636312,0.6945,1.389,0.1305,3.5250923310884206
260,1.899407596701127,0.3225,0.645,0.6255,0.23854008255485554
261,2.1205714949471486,0.231,0.462,0.8235,0.34455789702368017
262,0.8065977465443142,0.6015,1.203,0.1665,3.6046056919400393
263,0.9627134394238589,0.4155,0.831,0.6705,5.247881816206822
264,0.27320246253920316,0.045,0.09,2.0205,1.9878340212904626
265,2.367754675339761,0.033,0.066,1.332,2.809472083423854
266,1.6131954930886283,0.405,0.81,0.477,6.069519878340213
267,0.22116389824602162,0.5895,1.179,0.405,4.426243754073431
268,3.6687187826692997,0.219,0.438,0.324,1.1661959591570714
269,0.7415495411778372,0.312,0.624,1.0575,1.563762763415164
270,0.09106748751306773,0.6825,1.365,0.171,4.850315011948729
271,0.767568823324428,0.4965,0.993,0.495,6.493591136215512
272,1.0537809269369265,0.126,0.252,1.5075,3.2070388876819464
273,4.293181554187479,0.1725,0.345,0.2475,2.3854008255485555
274,1.769311185968173,0.543,1.086,0.009,5.67195307408212
275,0.06504820536647694,0.729,1.458,0.0405,4.028676949815338
276,1.808340109188059,0.3585,0.717,0.549,0.7421247012817728
277,2.732024625392032,0.2655,0.531,0.5085,0.5300890723441235
278,0.6244627715181786,0.636,1.272,0.126,3.8166413208776886
279,0.8326170286909049,0.45,0.9,0.612,5.459917445144471
280,0.936694157277268,0.0795,0.159,1.6875,2.1733651966109058
281,5.542107097223836,0.057,0.114,0.162,2.9950032587442976
282,0.039028923219886165,0.4275,0.855,0.954,6.281555507277862
283,0.6114531304448833,0.6135,1.227,0.198,4.63827938301108
284,2.5628992914391917,0.2415,0.483,0.639,1.3517271344775148
285,1.5871762109420373,0.3345,0.669,0.6975,0.9541603302194221
286,0.2862121036124986,0.7065,1.413,0.0315,4.240712578752988
287,1.0667905680102219,0.5205,1.041,0.3195,5.88398870301977
288,1.6131954930886283,0.1485,0.297,1.2465,2.5974364544862047
289,3.1743524218840746,0.102,0.204,0.846,1.7757983923528133
290,2.0164943663607855,0.474,0.948,0.1305,5.062350640886379
291,0.2471831803926124,0.66,1.32,0.1845,3.419074516619596
292,0.16912533395284007,0.288,0.576,1.3275,0.13252226808603088
293,2.8881403182715766,0.195,0.39,0.666,0.1855311753204432
294,1.5871762109420373,0.567,1.134,0.0,3.4720834238540084
295,2.901149959344872,0.381,0.762,0.1035,5.115359548120791
296,3.304448832617029,0.0105,0.021,1.0755,1.8288072995872258
297,3.772795911255663,0.0135,0.027,0.9045,2.6504453617206174
298,1.1188291323034034,0.384,0.768,0.711,5.910493156636976
299,0.702520617957951,0.57,1.14,0.297,4.293721485987399
300,3.408525961203392,0.198,0.396,0.477,1.0071692374538346
301,2.875130677198281,0.291,0.582,0.3825,1.404736041711927
302,0.3642699500522709,0.663,1.326,0.135,4.691288290245492
303,0.8586363108374957,0.477,0.954,0.522,6.3345644145122755
304,3.265419909397143,0.105,0.21,0.8055,3.04801216597871
